score,key,from_version,to_version,similarity,edge_lost,edge_gained,euphemism_hits,old_preview,new_preview
10.67,civilian_localdelivery_holiday_desc_003,4.3.2-LIVE,4.4.0-PTU,0.7134,,,,Hope the holiday season is treating you well. |  | Mine's been a bit stressful so far. It turns out that I put the wrong delivery address on a handful of gifts and I'm desperately seeking a way to get them delivered on time.  |  | It would mean so much to me if you could get me out of this jam.  |  | The presents are at <EM4>~mission(Pickup1|Address)</EM4> and will need to be delivered to:  | - ~mission(GiftRec,Hope the holiday season is treating you well. |  | Mine's been a bit stressful so far. It turns out that I put the wrong delivery address on a handful of gifts and I'm desperately seeking a way to get them delivered on time.  |  | It would mean so much to me if you could get me out of this jam.  |  | The presents are at <EM4>~mission(Location|Address)</EM4> and will need to be delivered to ~mission(Descriptio
10.48,"TheCollector_GenericCollect_Long,P",4.3.2-LIVE,4.4.0-PTU,0.7179,,,,Bring ~mission(amount)/~mission(total) of ~mission(item). Bring to ~mission(destination|ListAll).,Bring ~mission(amount)/~mission(total) of ~mission(item). Bring to <EM4>any Wikelo Emporium</EM4>.
9.98,item_DescMTC_Paint_Grey_Black_Yellow_Solid,4.3.2-LIVE,4.4.0-PTU,0.7306,,,,Equip the Filament livery to make the MTC grey with black and yellow highlights.,Equip the Filament livery to make the MTC grey with black and yellow highlights. It's also compatible with other Greycat M-series vehicles.
8.75,item_DescMTC_Paint_Grey_Lightgrey_Orange_Solid,4.3.2-LIVE,4.4.0-PTU,0.7611,,,,"The Boreal livery brings a mix of metallic light grey, grey, and orange highlights to the MTC.","The Boreal livery brings a mix of metallic light grey, grey, and orange highlights to the MTC. It's also compatible with other Greycat M-series vehicles."
8.74,item_DescMTC_Paint_Grey_Black_Red_Solid,4.3.2-LIVE,4.4.0-PTU,0.7615,,,,Bold red highlights add a bit of color and break up the black base paint of the MTC Baracus livery.,"Bold red highlights add a bit of color and break up the black base paint of the MTC Baracus livery, which can also be applied to other Greycat M-Series vehicles."
8.06,item_DescMTC_Paint_Black_Grey_Blue_Solid,4.3.2-LIVE,4.4.0-PTU,0.7786,,,,"Crisp, metallic blue with grey and black highlights provide the Moonstone livery a spirited look for the MTC.","Crisp, metallic blue with grey and black highlights provide the Moonstone livery a spirited look for the MTC, which can also be applied to other Greycat M-Series vehicles."
35.13,Journal_General_FrontendNewspaperHeadlines_From,4.4.0-PTU,4.5.0-LIVE,0.1017,,,,VOX POPULI: The Voice of the People’s Alliance,Terra Gazette
33.97,Journal_General_FrontendNewspaperHeadlines_Content,4.4.0-PTU,4.5.0-LIVE,0.0307,,execute,,"VOX POPULI | The Voice of the People’s Alliance | November 2955 |  | ALBERTSON FAMILY KILLED IN VANDUUL RAID  | Governing committee offers condolences but no solutions as the death toll continues to rise. |  | The Albertson Family Mining Post had just started its shift, when the Vanduul raiders struck without warning, killing the entire crew within moments. As the horrific trend of Vanduul attacks continues wel","Terra Gazette | December 2955 |  | FTL COMMS BREAKTHROUGH | Scientists reveal cutting-edge discovery allowing for real-time inter-system comms. |  | “The universe has just grown a bit smaller,” said lead researcher Dr. Allo Betel as they demonstrated the first public test of faster-than-light communications to a stunned crowd. Speaking in real time from the press conference in New York, Sol system to a collea"
24.55,item_Descarma_barrel_stab_s1_firerats01,4.4.0-PTU,4.5.0-LIVE,0.3663,,,,Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 1 |  | Recoil Stability: +40% | Recoil Kick: +40% | Spread: -10% | Projectile Speed: -12.5% |  | Reduce energy weapon recoil with the Emod Stabilizer1. ArmaMod designed the attachment to improve both horizontal and vertical recoil to ensure a more precise shot. The Scorched edition features a unique flame patina.,Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 1 |  | Spread: -20% | Projectile Speed: -12.5% | Aim Recoil: +40% | Visual Recoil: +40% |  | ArmaMod designed the Emod Stabilizer1 attachment to improve spread for a slower but more precise shot. The Scorched edition features a unique flame patina.
23.76,item_Descarma_barrel_stab_s1,4.4.0-PTU,4.5.0-LIVE,0.386,,,,Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 1 |  | Reduce energy weapon recoil with the Emod Stabilizer1. ArmaMod designed the attachment to improve both horizontal and vertical recoil to ensure a more precise shot. ,Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 1 |  | Visual Recoil: -30% |  | ArmaMod designed the Emod Stabilizer1 attachment to improve visual stability allowing for a more precise shot.
23.76,item_Descarma_barrel_stab_s2,4.4.0-PTU,4.5.0-LIVE,0.386,,,,Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 2 |  | Reduce energy weapon recoil with the Emod Stabilizer2. ArmaMod designed the attachment to improve both horizontal and vertical recoil to ensure a more precise shot. ,Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 2 |  | Visual Recoil: -30% |  | ArmaMod designed the Emod Stabilizer2 attachment to improve visual stability allowing for a more precise shot.
19.56,item_descarma_barrel_stab_s2_contestedzonereward,4.4.0-PTU,4.5.0-LIVE,0.4909,,,,"Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 2 |  | Damage: +12.5% | Recoil Stability: +15% | Recoil Kick: +40% | Spread: +25% | Ammo Cost Per Shot: +100% |  | Reduce energy weapon recoil with the Emod Stabilizer2. ArmaMod designed the attachment to improve both horizontal and vertical recoil to ensure a more precise shot. This ""Tweaker"" version has been unofficially modified to do","Manufacturer: ArmaMod | Type: Energy Stabilizer | Attachment Point: Barrel | Size: 2 |  | Heat: -80% | Aim Recoil: +40% | Visual Recoil: -15% | Damage: +12.5% | Ammo Consumption: +100% |  | ArmaMod designed the Emod Stabilizer2 attachment to improve heat distribution and visual stability allowing for a more precise shot. This ""Tweaker"" version has been unofficially modified to do more damage at the cost of expending mo"
19.2,ui_pause_PopupQuitGame_Title,4.4.0-PTU,4.5.0-LIVE,0.5,,,,Quit Game,Quit to desktop
18.84,Journal_General_FrontendNewspaperHeadlines_Title,4.4.0-PTU,4.5.0-LIVE,0.5091,,,,Vox Populi - November 2955,Terra Gazette - December 2955
50.36,Journal_General_FrontendNewspaperHeadlines_Content,4.5.0-LIVE,4.6.0-LIVE,0.0211,execute,,,"Terra Gazette | December 2955 |  | FTL COMMS BREAKTHROUGH | Scientists reveal cutting-edge discovery allowing for real-time inter-system comms. |  | “The universe has just grown a bit smaller,” said lead researcher Dr. Allo Betel as they demonstrated the first public test of faster-than-light communications to a stunned crowd. Speaking in real time from the press conference in New York, Sol system to a collea","New United | Release Edition 4.6.0 |  | FAULTY FILTER TO BLAME FOR MYSTERIOUS AILMENT | Deadly ‘Molina Mold’ contaminates Levski station in Nyx System. |  | Following weeks of reports of a new unknown illness afflicting the residents of Levski, the source has been confirmed as a new species of mold whose airborne spores cause potentially fatal fungal infections in Humans. The source of the mold growth was tra"
25.29,Journal_General_FrontendNewspaperHeadlines_From,4.5.0-LIVE,4.6.0-LIVE,0.3478,,,,Terra Gazette,New United
24.28,Journal_General_FrontendNewspaperHeadlines_Title,4.5.0-LIVE,4.6.0-LIVE,0.3729,,,,Terra Gazette - December 2955,New United - Release Ed. 4.6.0
17.95,Journal_General_Mining_Title,4.5.0-LIVE,4.6.0-LIVE,0.5312,,,,The Fundamentals of Mining,Mining Fundamentals #1: Basic Overview
16.18,Journal_General_Harvestables_Content,4.5.0-LIVE,4.6.0-LIVE,0.5756,,,,"It may seem completely corporate, but the Stanton system is rich with resources for the enterprising forager. This guide will help you identify what's useful, what's edible, and what's deadly.   |  | *A FORAGER'S GUIDE TO STANTON* |  | DEGNOUS ROOT  | A type of macroalgae that has acclimated to much of the Stanton system, the degnous root is originally from Terra III, where it grows in abundance along shall","This guide will help you identify what's useful, what's edible, and what's deadly.   |  | *STANTON SYSTEM* | It may seem completely corporate, but the Stanton system is rich with resources for the enterprising forager. |  | DEGNOUS ROOT  | A type of macroalgae that has acclimated to much of the Stanton system, the degnous root is originally from Terra III, where it grows in abundance along shallow coastlines."
9.01,Journal_General_Harvestables_From,4.5.0-LIVE,4.6.0-LIVE,0.7547,,,,Stanton Wildlife Federation,Empire Wildlife Federation
9.01,Journal_General_Wildlife_From,4.5.0-LIVE,4.6.0-LIVE,0.7547,,,,Stanton Wildlife Federation,Empire Wildlife Federation
8.98,Journal_General_Harvestables_Title,4.5.0-LIVE,4.6.0-LIVE,0.7556,,,,A Forager's Guide to Stanton,A Forager's Guide
42.15,Shubin_Industrial_ShipMining_S_Org_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.3013,,,lost:'kill ',"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. This purchase order is more complex than typical, requiring multiple mining methods, but since you've proven your skill thus far, we think you and your team are up for the challenge. |  | Reminder, <EM4>materials must be ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar values the continuous and consistent deliveries of ore that you have provided and now wishes for you to push your performance further. |  | We are in need of a vast amount of ore, ranging from common to rare. A variety of different methods will need to be employed to gather these resources and mos"
42.15,Shubin_Industrial_ShipMining_VH_Org_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.3013,,,lost:'kill ',"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. This purchase order is more complex than typical, requiring multiple mining methods, but since you've proven your skill thus far, we think you and your team are up for the challenge. |  | Reminder, <EM4>materials must be ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar values the continuous and consistent deliveries of ore that you have provided and now wishes for you to push your performance further. |  | We are in need of a vast amount of ore, ranging from common to rare. A variety of different methods will need to be employed to gather these resources and mos"
35.53,Shubin_Industrial_HandMining_Intro_Local_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.0918,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Due to changes in our sourcing pipeline, Shubin Interstellar is currently looking to purchase a variety of materials from independent miners operating in the area. While selling at a trade hub may net you a more competitive price than fulfilling our order, many miners find that strengthening their ties to Shubin to be a wise ","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Hand Mining |  | TERMS*: |  | Shubin Interstellar are looking to expand our existing list of contractors across <EM4>~mission(System)</EM4> to include entry-level mining contractors. |  | If you are self-motivated, hardworking, and resilient, we would be interested in working with you. |  | Head to our mining facility located at <EM4>~mission(Destinat"
26.89,Shubin_Industrial_ShipMining_VH_Org_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3077,,,,Special Purchase Order: Mined Materials,Ship Mining Request: Special Assignment
26.26,Shubin_Industrial_ShipMining_Nyx_E_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3235,,,,Small Purchase Order: Ship Mined Ore,Ship Mining Request: Small Scale
26.26,Shubin_Industrial_ShipMining_Pyro_E_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3235,,,,Small Purchase Order: Ship Mined Ore,Ship Mining Request: Small Scale
26.26,Shubin_Industrial_ShipMining_Stanton_E_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3235,,,,Small Purchase Order: Ship Mined Ore,Ship Mining Request: Small Scale
26.23,Shubin_Industrial_HandMining_Nyx_E_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3243,,,,Small Purchase Order: Hand Mined Materials,Hand Mining Request: Small Scale
26.23,Shubin_Industrial_HandMining_Pyro_E_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3243,,,,Small Purchase Order: Hand Mined Materials,Hand Mining Request: Small Scale
26.23,Shubin_Industrial_HandMining_Stanton_E_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3243,,,,Small Purchase Order: Hand Mined Materials,Hand Mining Request: Small Scale
26.23,Shubin_Industrial_HandMining_Stanton_E_PlanetarySystem_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3243,,,,Small Purchase Order: Hand Mined Materials,Hand Mining Request: Small Scale
25.54,Shubin_Industrial_HandMining_Intro_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3415,,,,Small Purchase Order: Hand Mined Materials,Hand Mining Request: Shubin Interstellar
25.49,Shubin_Industrial_ShipMining_Nyx_VE_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3429,,,,XS Purchase Order: Ship Mined Ore,Ship Mining Request: Very Small Scale
25.49,Shubin_Industrial_ShipMining_Pyro_VE_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3429,,,,XS Purchase Order: Ship Mined Ore,Ship Mining Request: Very Small Scale
25.49,Shubin_Industrial_ShipMining_Stanton_VE_Local_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3429,,,,XS Purchase Order: Ship Mined Ore,Ship Mining Request: Very Small Scale
25.29,Shubin_Industrial_ShipMining_Nyx_S_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3478,,,,Mjr. Purchase Order: Ship Mined Ore,Ship Mining Request: Extreme Scale
25.29,Shubin_Industrial_ShipMining_Pyro_S_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3478,,,,Mjr. Purchase Order: Ship Mined Ore,Ship Mining Request: Extreme Scale
25.29,Shubin_Industrial_ShipMining_Stanton_S_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3478,,,,Mjr. Purchase Order: Ship Mined Ore,Ship Mining Request: Extreme Scale
25.15,Shubin_Industrial_HandMining_Pyro_M_DiscoverPlanetary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3514,,,,Med. Purchase Order: Hand Mined Materials,Hand Mining Request: Medium Scale
25.15,Shubin_Industrial_HandMining_Stanton_M_DiscoverPlanetary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3514,,,,Med. Purchase Order: Hand Mined Materials,Hand Mining Request: Medium Scale
25.08,Shubin_Industrial_ShipMining_Nyx_M_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3529,,,,Med. Purchase Order: Ship Mined Ore,Ship Mining Request: Medium Scale
25.08,Shubin_Industrial_ShipMining_Pyro_M_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3529,,,,Med. Purchase Order: Ship Mined Ore,Ship Mining Request: Medium Scale
25.08,Shubin_Industrial_ShipMining_Stanton_M_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3529,,,,Med. Purchase Order: Ship Mined Ore,Ship Mining Request: Medium Scale
24.87,Shubin_Industrial_ShipMining_Nyx_H_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3582,,,,Lrg. Purchase Order: Ship Mined Ore,Ship Mining Request: Large Scale
24.87,Shubin_Industrial_ShipMining_Pyro_H_PrimarySecondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3582,,,,Lrg. Purchase Order: Ship Mined Ore,Ship Mining Request: Large Scale
24.87,Shubin_Industrial_ShipMining_Pyro_H_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3582,,,,Lrg. Purchase Order: Ship Mined Ore,Ship Mining Request: Large Scale
24.87,Shubin_Industrial_ShipMining_Stanton_H_PrimarySecondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3582,,,,Lrg. Purchase Order: Ship Mined Ore,Ship Mining Request: Large Scale
24.87,Shubin_Industrial_ShipMining_Stanton_H_Secondary_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3582,,,,Lrg. Purchase Order: Ship Mined Ore,Ship Mining Request: Large Scale
24.87,Shubin_Industrial_ShipMining_Stanton_H_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3582,,,,Lrg. Purchase Order: Ship Mined Ore,Ship Mining Request: Large Scale
24.43,Shubin_Industrial_ShipMining_Nyx_VH_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3692,,,,XL Purchase Order: Ship Mined Ore,Ship Mining Request: Major Scale
24.43,Shubin_Industrial_ShipMining_Nyx_VH_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3692,,,,XL Purchase Order: Ship Mined Ore,Ship Mining Request: Major Scale
24.43,Shubin_Industrial_ShipMining_Pyro_VH_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3692,,,,XL Purchase Order: Ship Mined Ore,Ship Mining Request: Major Scale
24.43,Shubin_Industrial_ShipMining_Stanton_VH_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3692,,,,XL Purchase Order: Ship Mined Ore,Ship Mining Request: Major Scale
24.43,Shubin_Industrial_ShipMining_Stanton_VH_Secondary_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3692,,,,XL Purchase Order: Ship Mined Ore,Ship Mining Request: Major Scale
24.43,Shubin_Industrial_ShipMining_Stanton_VH_Secondary_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3692,,,,XL Purchase Order: Ship Mined Ore,Ship Mining Request: Major Scale
24.27,Shubin_Industrial_HandMining_Nyx_S_Interstellar_Title,4.6.0-LIVE,4.6.0-PTU,0.3733,,,,Mjr. Purchase Order: Hand Mined Materials,Hand Mining Request: Extreme Scale
24.27,Shubin_Industrial_HandMining_Nyx_S_Interstellar_Title_002,4.6.0-LIVE,4.6.0-PTU,0.3733,,,,Mjr. Purchase Order: Hand Mined Materials,Hand Mining Request: Extreme Scale
24.27,Shubin_Industrial_HandMining_Pyro_S_Interstellar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3733,,,,Mjr. Purchase Order: Hand Mined Materials,Hand Mining Request: Extreme Scale
24.27,Shubin_Industrial_HandMining_Pyro_S_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3733,,,,Mjr. Purchase Order: Hand Mined Materials,Hand Mining Request: Extreme Scale
24.27,Shubin_Industrial_HandMining_Stanton_S_Solar_Title,4.6.0-LIVE,4.6.0-PTU,0.3733,,,,Mjr. Purchase Order: Hand Mined Materials,Hand Mining Request: Extreme Scale
24.27,Shubin_Industrial_HandMining_Stanton_S_Solar_Title_002,4.6.0-LIVE,4.6.0-PTU,0.3733,,,,Mjr. Purchase Order: Hand Mined Materials,Hand Mining Request: Extreme Scale
23.86,Shubin_Industrial_HandMining_Pyro_H_PlanetarySystem_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3836,,,,Lrg. Purchase Order: Hand Mined Materials,Hand Mining Request: Large Scale
23.86,Shubin_Industrial_HandMining_Stanton_H_PlanetarySystem_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3836,,,,Lrg. Purchase Order: Hand Mined Materials,Hand Mining Request: Large Scale
23.86,Shubin_Industrial_HandMining_Stanton_H_Planetary_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3836,,,,Lrg. Purchase Order: Hand Mined Materials,Hand Mining Request: Large Scale
23.86,Shubin_Industrial_HandMining_Stanton_H_Solar_Title_001,4.6.0-LIVE,4.6.0-PTU,0.3836,,,,Lrg. Purchase Order: Hand Mined Materials,Hand Mining Request: Large Scale
23.39,Shubin_Industrial_ShipMining_Nyx_H_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.3952,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, all the <EM4>materials must be refined before delivery</EM4>, and since this is a purchase order and not a mining contract, you are expected","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
23.39,Shubin_Industrial_ShipMining_Pyro_H_PrimarySecondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.3952,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, all the <EM4>materials must be refined before delivery</EM4>, and since this is a purchase order and not a mining contract, you are expected","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
23.39,Shubin_Industrial_ShipMining_Pyro_H_Secondary_Desc_001,4.6.0-LIVE,4.6.0-PTU,0.3952,,,,"POSTING: Purchase Order | LOCATION: <EM4>~mission(System) </EM4> |  | TERMS*:  | Shubin Interstellar is currently looking to fulfil another purchase order for a variety of refined materials. We appreciate your help in this matter. |  | ~mission(Hint_Location)  |  | Reminder, all the <EM4>materials must be refined before delivery</EM4>, and since this is a purchase order and not a mining contract, you are expected","POSTING: Industrial | LOCATION: ~mission(System) | REQ EXPERIENCE: Ship Mining |  | TERMS*:  |  | Shubin Interstellar is in need of a variety of rare ores, mineable from numerous locations across <EM4>~mission(System)</EM4>. |  | ~mission(Hint_Location) |  | Many of these ores are extremely rare and difficult to find. Other miners have reported that initial scans of rocks do not detect these ores, but once a rock has"
